Entity,Code_x,Year,Mismanaged plastic waste (tonnes),Coastal population,Total population (Gapminder)_x,Code_y,Per capita mismanaged plastic waste (kilograms per person per day),"GDP per capita, PPP (constant 2011 international $) (Rate)",Total population (Gapminder)_y,Code,Per capita plastic waste (kilograms per person per day),"GDP per capita, PPP (constant 2011 international $) (constant 2011 international $)",Total population (Gapminder)
Afghanistan,AFG,2002,,,24639841,AFG,,1063.63557365313,24639841,AFG,,1063.63557365313,24639841
Afghanistan,AFG,2003,,,25678639,AFG,,1099.19450675044,25678639,AFG,,1099.19450675044,25678639
Afghanistan,AFG,2004,,,26693486,AFG,,1062.24936045108,26693486,AFG,,1062.24936045108,26693486
Afghanistan,AFG,2005,,,27614718,AFG,,1136.12321410151,27614718,AFG,,1136.12321410151,27614718
Afghanistan,AFG,2006,,,28420974,AFG,,1161.12488912197,28420974,AFG,,1161.12488912197,28420974
Afghanistan,AFG,2007,,,29145841,AFG,,1284.77521302624,29145841,AFG,,1284.77521302624,29145841
Afghanistan,AFG,2008,,,29839994,AFG,,1298.14315888036,29839994,AFG,,1298.14315888036,29839994
Afghanistan,AFG,2009,,,30577756,AFG,,1531.17399271735,30577756,AFG,,1531.17399271735,30577756
Afghanistan,AFG,2010,,,31411743,AFG,,1614.25500126115,31411743,AFG,,1614.25500126115,31411743
Afghanistan,AFG,2011,,,32358260,AFG,,1660.73985617959,32358260,AFG,,1660.73985617959,32358260
Afghanistan,AFG,2012,,,33397058,AFG,,1839.27357927778,33397058,AFG,,1839.27357927778,33397058
Afghanistan,AFG,2013,,,34499915,AFG,,1848.70002621394,34499915,AFG,,1848.70002621394,34499915
Albania,ALB,1990,,,3289483,ALB,,4722.83816576759,3289483,ALB,,4722.83816576759,3289483
Albania,ALB,1991,,,3291695,ALB,,3345.50404927247,3291695,ALB,,3345.50404927247,3291695
Albania,ALB,1992,,,3266983,ALB,,3123.51250298198,3266983,ALB,,3123.51250298198,3266983
Albania,ALB,1993,,,3224901,ALB,,3444.32179181322,3224901,ALB,,3444.32179181322,3224901
Albania,ALB,1994,,,3179442,ALB,,3753.16990379019,3179442,ALB,,3753.16990379019,3179442
Albania,ALB,1995,,,3141102,ALB,,4278.68966272931,3141102,ALB,,4278.68966272931,3141102
Albania,ALB,1996,,,3112597,ALB,,4697.15323281589,3112597,ALB,,4697.15323281589,3112597
Albania,ALB,1997,,,3091902,ALB,,4214.35815259863,3091902,ALB,,4214.35815259863,3091902
Albania,ALB,1998,,,3079037,ALB,,4623.02640073499,3079037,ALB,,4623.02640073499,3079037
Albania,ALB,1999,,,3072725,ALB,,5280.52786659886,3072725,ALB,,5280.52786659886,3072725
Albania,ALB,2000,,,3071856,ALB,,5668.57477726735,3071856,ALB,,5668.57477726735,3071856
Albania,ALB,2001,,,3077378,ALB,,6176.37067804796,3077378,ALB,,6176.37067804796,3077378
Albania,ALB,2002,,,3089778,ALB,,6457.0500213448,3089778,ALB,,6457.0500213448,3089778
Albania,ALB,2003,,,3106701,ALB,,6855.44887574892,3106701,ALB,,6855.44887574892,3106701
Albania,ALB,2004,,,3124861,ALB,,7277.21490788601,3124861,ALB,,7277.21490788601,3124861
Albania,ALB,2005,,,3141800,ALB,,7733.006932655,3141800,ALB,,7733.006932655,3141800
Albania,ALB,2006,,,3156607,ALB,,8204.5882455338,3156607,ALB,,8204.5882455338,3156607
Albania,ALB,2007,,,3169665,ALB,,8754.56951284933,3169665,ALB,,8754.56951284933,3169665
Albania,ALB,2008,,,3181397,ALB,,9153.78820562203,3181397,ALB,,9153.78820562203,3181397
Albania,ALB,2009,,,3192723,ALB,,9524.64930321377,3192723,ALB,,9524.64930321377,3192723
Albania,ALB,2010,29705,2530533,3204284,ALB,0.032,9927.18184117512,3204284,ALB,0.069,9927.18184117512,3204284
Albania,ALB,2011,,,3215988,ALB,,10207.7646993323,3215988,ALB,,10207.7646993323,3215988
Albania,ALB,2012,,,3227373,ALB,,10369.8233819184,3227373,ALB,,10369.8233819184,3227373
Albania,ALB,2013,,,3238316,ALB,,10492.8062825121,3238316,ALB,,10492.8062825121,3238316
Algeria,DZA,1990,,,25299182,DZA,,10236.840658348,25299182,DZA,,10236.840658348,25299182
Algeria,DZA,1991,,,25930560,DZA,,9869.48837022995,25930560,DZA,,9869.48837022995,25930560
Algeria,DZA,1992,,,26557969,DZA,,9815.46382267098,26557969,DZA,,9815.46382267098,26557969
Algeria,DZA,1993,,,27169903,DZA,,9400.05442441546,27169903,DZA,,9400.05442441546,27169903
Algeria,DZA,1994,,,27751086,DZA,,9126.2716238864,27751086,DZA,,9126.2716238864,27751086
Algeria,DZA,1995,,,28291591,DZA,,9295.42011356466,28291591,DZA,,9295.42011356466,28291591
Algeria,DZA,1996,,,28786855,DZA,,9509.68765695727,28786855,DZA,,9509.68765695727,28786855
Algeria,DZA,1997,,,29242917,DZA,,9461.35511679608,29242917,DZA,,9461.35511679608,29242917
Algeria,DZA,1998,,,29673694,DZA,,9796.73993556183,29673694,DZA,,9796.73993556183,29673694
Algeria,DZA,1999,,,30099010,DZA,,9968.96771197831,30099010,DZA,,9968.96771197831,30099010
Algeria,DZA,2000,,,30533827,DZA,,10211.0018566908,30533827,DZA,,10211.0018566908,30533827
Algeria,DZA,2001,,,30982214,DZA,,10382.1868362393,30982214,DZA,,10382.1868362393,30982214
Algeria,DZA,2002,,,31441848,DZA,,10826.4876450259,31441848,DZA,,10826.4876450259,31441848
Algeria,DZA,2003,,,31913462,DZA,,11459.8935602271,31913462,DZA,,11459.8935602271,31913462
Algeria,DZA,2004,,,32396048,DZA,,11797.1848486236,32396048,DZA,,11797.1848486236,32396048
Algeria,DZA,2005,,,32888449,DZA,,12322.4842607049,32888449,DZA,,12322.4842607049,32888449
Algeria,DZA,2006,,,33391954,DZA,,12348.4812120361,33391954,DZA,,12348.4812120361,33391954
Algeria,DZA,2007,,,33906605,DZA,,12570.6547026998,33906605,DZA,,12570.6547026998,33906605
Algeria,DZA,2008,,,34428028,DZA,,12660.4032440006,34428028,DZA,,12660.4032440006,34428028
Algeria,DZA,2009,,,34950168,DZA,,12647.5403044562,34950168,DZA,,12647.5403044562,34950168
Algeria,DZA,2010,520555,16556580,35468208,DZA,0.086,12870.6026985154,35468208,DZA,0.144,12870.6026985154,35468208
Algeria,DZA,2011,,,35980193,DZA,,12990.345016498,35980193,DZA,,12990.345016498,35980193
Algeria,DZA,2012,,,36485828,DZA,,13161.9616734309,36485828,DZA,,13161.9616734309,36485828
Algeria,DZA,2013,,,36983924,DZA,,13253.6154761387,36983924,DZA,,13253.6154761387,36983924
Angola,AGO,1990,,,10335052,AGO,,3430.79842677176,10335052,AGO,,3430.79842677176,10335052
Angola,AGO,1991,,,10653515,AGO,,3359.37479433897,10653515,AGO,,3359.37479433897,10653515
Angola,AGO,1992,,,11002910,AGO,,3062.04269585648,11002910,AGO,,3062.04269585648,11002910
Angola,AGO,1993,,,11371750,AGO,,2252.0516075095,11371750,AGO,,2252.0516075095,11371750
Angola,AGO,1994,,,11742960,AGO,,2210.06678623968,11742960,AGO,,2210.06678623968,11742960
Angola,AGO,1995,,,12105105,AGO,,2465.39661937211,12105105,AGO,,2465.39661937211,12105105
Angola,AGO,1996,,,12452725,AGO,,2720.52132873595,12452725,AGO,,2720.52132873595,12452725
Angola,AGO,1997,,,12792237,AGO,,2839.75871738723,12792237,AGO,,2839.75871738723,12792237
Angola,AGO,1998,,,13138265,AGO,,2893.33447211675,13138265,AGO,,2893.33447211675,13138265
Angola,AGO,1999,,,13511575,AGO,,2873.88392356747,13511575,AGO,,2873.88392356747,13511575
Angola,AGO,2000,,,13926373,AGO,,2873.19300963682,13926373,AGO,,2873.19300963682,13926373
Angola,AGO,2001,,,14388244,AGO,,2898.42809473305,14388244,AGO,,2898.42809473305,14388244
Angola,AGO,2002,,,14890474,AGO,,3184.02073557526,14890474,AGO,,3184.02073557526,14890474
Angola,AGO,2003,,,15419943,AGO,,3213.67665424078,15419943,AGO,,3213.67665424078,15419943
Angola,AGO,2004,,,15957460,AGO,,3418.3252910714,15957460,AGO,,3418.3252910714,15957460
Angola,AGO,2005,,,16489021,AGO,,3987.81493621439,16489021,AGO,,3987.81493621439,16489021
Angola,AGO,2006,,,17010366,AGO,,4578.82771829926,17010366,AGO,,4578.82771829926,17010366
Angola,AGO,2007,,,17525367,AGO,,5443.11793253444,17525367,AGO,,5443.11793253444,17525367
Angola,AGO,2008,,,18037964,AGO,,5978.32324902683,18037964,AGO,,5978.32324902683,18037964
Angola,AGO,2009,,,18555115,AGO,,5908.04224811631,18555115,AGO,,5908.04224811631,18555115
Angola,AGO,2010,62528,3790041,19081912,AGO,0.045,5897.68284059848,19081912,AGO,0.062,5897.68284059848,19081912
Angola,AGO,2011,,,19618432,AGO,,5911.25409210655,19618432,AGO,,5911.25409210655,19618432
Angola,AGO,2012,,,20162517,AGO,,5999.90210602209,20162517,AGO,,5999.90210602209,20162517
Angola,AGO,2013,,,20714494,AGO,,6188.0037558835,20714494,AGO,,6188.0037558835,20714494
Antigua and Barbuda,ATG,1990,,,62202,ATG,,16381.018356894,62202,ATG,,16381.018356894,62202
Antigua and Barbuda,ATG,1991,,,62754,ATG,,16585.6715162132,62754,ATG,,16585.6715162132,62754
Antigua and Barbuda,ATG,1992,,,63802,ATG,,16503.1720979053,63802,ATG,,16503.1720979053,63802
Antigua and Barbuda,ATG,1993,,,65238,ATG,,16999.1768058194,65238,ATG,,16999.1768058194,65238
Antigua and Barbuda,ATG,1994,,,66895,ATG,,17683.7510162052,66895,ATG,,17683.7510162052,66895
Antigua and Barbuda,ATG,1995,,,68642,ATG,,16476.3332796269,68642,ATG,,16476.3332796269,68642
Antigua and Barbuda,ATG,1996,,,70450,ATG,,17097.9758766223,70450,ATG,,17097.9758766223,70450
Antigua and Barbuda,ATG,1997,,,72322,ATG,,17543.7315286641,72322,ATG,,17543.7315286641,72322
Antigua and Barbuda,ATG,1998,,,74190,ATG,,17887.8075742041,74190,ATG,,17887.8075742041,74190
Antigua and Barbuda,ATG,1999,,,75985,ATG,,18102.2030900696,75985,ATG,,18102.2030900696,75985
Antigua and Barbuda,ATG,2000,,,77656,ATG,,18908.4943497905,77656,ATG,,18908.4943497905,77656
Antigua and Barbuda,ATG,2001,,,79165,ATG,,17660.5222059553,79165,ATG,,17660.5222059553,79165
Antigua and Barbuda,ATG,2002,,,80507,ATG,,17591.3404932158,80507,ATG,,17591.3404932158,80507
Antigua and Barbuda,ATG,2003,,,81716,ATG,,18437.5085744652,81716,ATG,,18437.5085744652,81716
Antigua and Barbuda,ATG,2004,,,82838,ATG,,19282.2300777704,82838,ATG,,19282.2300777704,82838
Antigua and Barbuda,ATG,2005,,,83916,ATG,,20289.710866338,83916,ATG,,20289.710866338,83916
Antigua and Barbuda,ATG,2006,,,84952,ATG,,22606.8409092144,84952,ATG,,22606.8409092144,84952
Antigua and Barbuda,ATG,2007,,,85935,ATG,,24408.1815224456,85935,ATG,,24408.1815224456,85935
Antigua and Barbuda,ATG,2008,,,86881,ATG,,24111.3770844998,86881,ATG,,24111.3770844998,86881
